_id,id,description,company,deleted,deletedAt,updatedAt,createdAt,__v
65e723c0d3ddf3ae55b114b3,100,BR000100 - ZONA CESAM,5df7d4b2a5161d3a0e587dc9,true,,,,
65e723c0d3ddf3ae55b114b4,101,BR000101 - PROJETOS CSC FINANÇAS,5df7d4b2a5161d3a0e587dc9,,2024-03-07T17:58:16.960Z,2024-03-07T17:58:16.962Z,,
65e723c0d3ddf3ae55b114b5,102,BR000102 - GERENCIA RH CESAM,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114b6,103,BR000103 - DIR COMPRAS CESAM,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114b7,104,BR000104 - OPERAÇÕES NO & NE XIII,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114b8,105,BR000105 - LATAM SEC RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114b9,106,BR000106 - GLOBAL RECHARGE AP RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114ba,107,BR000107 - DIRECAO IT CESAM,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114bb,108,BR000108 - PROJETO TRUE NORTH,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114bc,109,BR000109 - GESTAO D&I - PCD,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114bd,110,BR000110 - GERENCIA IT CESAM,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114be,111,BR000111 - EXPATRIADOS,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114bf,112,BR000112 - DIVERSIDADE E INCLUSAO CESAM,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114c0,113,BR000113 - INFRA OTHER-INFRA RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114c1,114,BR000114 - JOVEM FOOD,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114c2,115,BR000115 - JOVEM FM,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114c3,116,BR000116 - IS&T MGMT-OTHER BUILD,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114c4,117,BR000117 - DIREÇÃO MINING SUDESTE,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114c5,118,BR000118 - GLOBAL RECHARGE OUT AP RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114c6,119,BR000119 - PERFORMANCE E PRECIFICAÇÃO COMERCIAL,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114c7,120,BR000120 - AJUSTE MARKETING,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114c8,121,BR000121 - AJUSTE PMO,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114c9,122,BR000122 - AJUSTE COMERCIAL,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114ca,123,BR000123 - AJUSTE CLIENTS FOR LIFE,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114cb,124,BR000124 - AJUSTE COMUNICAÇAO,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114cc,125,BR000125 - AJUSTE ESTRATEGIA,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b114cd,126,BR000126 - AJUSTE FOOD TRASNFORMATION,5df7d4b2a5161d3a0e587dc9,,,,,
